name, hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type 
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Land Animal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Land Animal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Land Animal
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Land Animal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Land Animal
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Land Animal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Land Animal
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Land Animal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Land Animal
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Land Animal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Land Animal
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Land Animal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Land Animal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Land Animal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Land Animal
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Land Animal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Land Animal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Land Animal
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Land Animal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Land Animal
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Land Animal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Land Animal
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,Land Animal
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Land Animal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Land Animal
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,Land Animal
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Land Animal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Birds
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Birds
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Birds
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Birds
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Birds
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Birds
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Birds
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,Birds
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Birds
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,Birds
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Birds
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,Birds
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Birds
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,Birds
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Birds
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Birds
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Birds
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Birds
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Birds
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Birds
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Fish
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Fish
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Fish
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,Fish
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,Fish
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Fish
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,Amphibians
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,Amphibians
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Amphibians
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibians
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Insect
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Insect
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,Insect
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Insect
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Insect
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Insect
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Insect
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Insect
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Sea-Animals
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Sea-Animals
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Sea-Animals
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Sea-Animals
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,Sea-Animals
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,Sea-Animals
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Sea-Animals
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Sea-Animals
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Sea-Animals
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Sea-Animals
